id,especie,raca,idade_anos,sexo,peso_kg,hemoglobina,hematocrito,leucocitos,plaquetas,eritrocitos,neutrofilos,linfocitos,monocitos,eosinofilos,glicose,ureia,creatinina,alt,ast,fosfatase_alcalina,fa,ggt,proteinas_totais,albumina,globulinas,colesterol,triglicerideos,bilirrubina_total,calcio,fosforo,sodio,potassio,temperatura_retal,pulso,freq_respiratoria,febre,apatia,perda_peso,vomito,diarreia,tosse,letargia,feridas_cutaneas,poliuria,polidipsia,dor,cirurgia,diagnostico
1,Cão,SRD,3.2,M,18.5,14.2,42.1,8500,320000,6.8,68.5,24.2,4.1,2.8,95.3,28.7,1.1,38.2,32.1,125.4,85.2,22.1,6.8,3.6,3.2,175.3,98.7,0.4,10.2,4.1,142.3,4.3,38.4,115,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
2,Gato,Siames,5.8,F,4.2,12.8,38.9,7200,280000,6.2,65.8,26.1,5.2,2.9,102.1,32.4,1.3,42.8,35.6,118.7,78.9,25.3,6.5,3.4,3.1,168.9,105.2,0.5,9.8,4.3,140.8,4.1,38.6,125,22,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
3,Cão,Golden Retriever,7.1,M,32.8,15.1,45.2,9200,350000,7.1,72.3,21.5,3.8,2.4,88.7,25.9,1.0,35.7,28.9,132.1,92.4,18.7,7.1,3.8,3.3,185.6,112.8,0.3,10.5,4.2,145.1,4.4,38.3,108,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
4,Gato,Persa,2.5,F,3.8,13.5,40.7,7800,295000,6.5,67.2,25.8,4.5,2.5,97.4,29.8,1.2,40.1,33.4,121.6,81.7,23.8,6.7,3.5,3.2,172.4,99.6,0.6,9.9,4.0,143.2,4.2,38.5,118,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
5,Cão,SRD,4.7,M,22.3,14.8,43.6,8800,330000,6.9,69.1,23.7,4.2,3.0,93.6,27.3,1.1,36.8,30.2,128.9,87.3,20.4,6.9,3.7,3.2,179.2,101.5,0.4,10.3,4.1,144.7,4.3,38.4,112,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
6,Gato,SRD,6.3,F,4.5,12.3,37.8,6900,265000,6.0,64.5,27.3,5.8,2.4,104.7,34.1,1.4,45.2,37.8,115.3,75.6,26.9,6.4,3.3,3.1,165.7,107.9,0.7,9.7,4.4,139.6,4.0,38.7,128,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
7,Cão,Pastor Alemão,5.2,M,28.7,15.6,46.1,9500,365000,7.3,73.8,20.9,3.5,1.8,86.2,24.6,0.9,33.4,26.7,135.6,95.8,17.2,7.3,3.9,3.4,192.3,115.7,0.2,10.6,4.3,146.8,4.5,38.2,105,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
8,Gato,SRD,3.9,F,4.1,13.2,39.4,7500,285000,6.3,66.4,26.5,4.8,2.3,100.8,31.5,1.3,41.5,34.7,119.8,79.8,24.6,6.6,3.4,3.2,170.8,103.4,0.5,10.0,4.2,141.9,4.1,38.5,122,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
9,Cão,SRD,8.4,M,15.6,14.1,41.8,8200,310000,6.7,68.7,24.1,4.0,3.2,94.5,28.2,1.2,37.9,31.5,126.4,83.6,21.8,6.8,3.6,3.2,177.1,100.8,0.4,10.1,4.0,143.8,4.2,38.4,110,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
10,Gato,Siames,4.1,F,3.9,12.9,38.2,7100,275000,6.1,65.1,26.8,5.5,2.6,101.5,33.2,1.4,43.6,36.2,117.2,77.1,25.7,6.5,3.3,3.2,167.3,106.1,0.6,9.8,4.3,140.2,4.0,38.6,126,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
11,Cão,SRD,2.8,M,12.4,13.9,41.2,7900,300000,6.4,67.8,25.3,4.3,2.6,96.8,29.5,1.2,39.2,32.8,124.1,86.5,22.7,6.7,3.5,3.2,174.5,99.2,0.5,9.9,4.1,142.6,4.2,38.5,114,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
12,Gato,Persa,7.2,F,4.8,11.8,35.9,6500,250000,5.8,62.3,28.9,6.2,1.6,108.9,36.7,1.5,47.8,40.1,113.7,72.4,28.3,6.2,3.1,3.1,162.1,110.5,0.8,9.6,4.5,138.4,3.9,38.8,132,26,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
13,Cão,SRD,6.7,M,19.8,14.5,43.1,8600,325000,6.8,70.2,22.8,3.9,3.1,91.3,26.8,1.0,35.1,29.4,131.2,89.7,19.6,7.0,3.8,3.2,181.7,97.8,0.3,10.4,4.2,145.3,4.4,38.3,107,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
14,Gato,SRD,1.9,F,3.2,13.7,40.1,7600,290000,6.4,66.7,25.9,4.7,2.7,99.2,30.8,1.3,42.3,35.1,120.5,80.5,24.1,6.6,3.4,3.2,169.5,102.7,0.5,10.1,4.1,141.5,4.1,38.5,120,22,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
